0 0.06 1
0.06 0.12 0
0.12 0.18 3
0.18 0.24 8
0.24 0.3 58
0.3 0.36 266
0.36 0.42 1030
0.42 0.48 2809
0.48 0.54 5854
0.54 0.6 13480
0.6 0.66 4389
0.66 0.72 219
0.72 0.78 122
0.78 0.84 105
0.84 0.9 86
0.9 0.96 79
0.96 1.02 74
1.02 1.08 51
1.08 1.14 47
1.14 1.2 64
1.2 1.26 60
1.26 1.32 47
1.32 1.38 40
1.38 1.44 38
1.44 1.5 31
1.5 1.56 26
1.56 1.62 8
1.62 1.68 19
1.68 1.74 5
1.74 1.8 8
1.8 1.86 6
1.86 1.92 1
1.92 1.98 0
1.98 2.04 0
2.04 2.1 0
2.1 2.16 0
2.16 2.22 0
2.22 2.28 0
2.28 2.34 0
2.34 2.4 0
2.4 2.46 0
2.46 2.52 0
2.52 2.58 0
2.58 2.64 0
2.64 2.7 0
2.7 2.76 0
2.76 2.82 0
2.82 2.88 0
2.88 2.94 0
2.94 3 0
